UKREIS,UJAHR,UMONAT,UTAG,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP,LICHT,USTRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,@lon,@lat
22,23,5,13,0,7,2,8,1,2,0,1,0,0,0,0,0,13.031812,50.935005
24,23,5,12,12,6,3,5,7,0,0,1,1,0,0,0,0,12.473089,50.720891
13,23,5,12,16,6,3,0,1,0,0,1,0,0,0,0,0,12.394372,51.336651
29,23,5,12,19,6,2,4,2,0,0,1,1,0,0,0,0,12.723212,51.238777
13,23,5,12,15,6,3,5,3,0,0,1,1,0,0,0,0,12.262901,51.344616
13,23,5,12,12,6,3,5,2,0,0,1,0,0,0,0,1,12.426447,51.351826
26,23,5,12,15,6,3,0,1,0,0,1,0,0,0,0,0,14.617322,51.108812
12,23,5,12,11,6,3,5,3,0,0,1,1,0,0,0,0,13.728817,51.019711
24,23,5,11,12,5,2,0,7,0,0,1,0,0,0,0,0,12.488817,50.693883
12,23,5,11,14,5,3,5,3,0,0,1,1,0,0,0,0,13.743164,51.124868
12,23,5,11,15,5,3,1,5,0,0,1,1,0,0,0,0,13.763726,51.087173
27,23,5,11,9,5,2,5,3,0,0,1,1,0,0,0,0,13.296963,51.304363
21,23,5,11,5,5,2,5,3,1,0,1,1,0,0,0,0,12.808988,50.630631
24,23,5,10,15,4,3,5,7,0,1,1,1,0,0,0,0,12.478265,50.678977
29,23,5,10,10,4,3,3,6,0,1,1,1,0,0,0,0,12.601429,51.024945
13,23,5,10,16,4,3,5,2,0,1,1,1,0,0,0,0,12.403948,51.321727
26,23,5,10,16,4,3,4,2,0,0,1,1,0,0,0,0,14.639962,51.503262
25,23,5,10,14,4,3,2,6,0,0,1,1,0,0,0,0,14.433861,51.077904
12,23,5,10,15,4,3,5,3,0,0,1,1,0,0,0,0,13.705343,51.051044
12,23,5,10,6,4,3,5,2,0,0,1,1,0,0,0,0,13.739308,51.073963
29,23,5,9,18,3,3,5,3,0,0,1,1,0,0,0,0,12.77358,51.393544
13,23,5,9,16,3,3,3,2,0,0,1,1,0,0,0,0,12.422483,51.306938
29,23,5,9,15,3,2,5,3,0,0,1,0,0,0,1,0,12.218794,51.303263
29,23,5,9,6,3,3,5,3,0,0,1,1,0,0,0,0,12.234146,51.310696
26,23,5,9,6,3,3,4,6,0,0,1,1,0,0,0,0,14.746102,50.891397
12,23,5,9,7,3,2,5,2,0,0,1,1,0,0,0,0,13.671123,51.016743
11,23,5,9,15,3,3,5,3,0,0,1,1,0,0,0,0,12.873571,50.85705
24,23,5,8,18,2,3,0,7,0,0,1,0,0,0,0,0,12.599143,50.800058
28,23,5,8,12,2,3,0,2,0,0,1,1,0,0,0,0,13.989415,50.888639
25,23,5,7,2,1,2,0,1,2,0,1,0,0,0,0,0,14.19235,51.234703
26,23,5,7,16,1,2,0,7,0,0,1,0,0,0,0,0,14.82115,51.290309
11,23,5,10,7,4,3,3,2,0,0,1,0,0,0,0,1,12.950289,50.816309
12,23,5,7,12,1,3,6,4,0,0,1,0,1,0,0,0,13.734445,51.040532
28,23,5,6,0,7,3,8,1,2,1,1,0,0,0,0,0,13.963301,50.903038
28,23,5,6,10,7,2,0,1,0,1,1,0,0,0,0,0,13.853933,50.958828
21,23,5,6,20,7,3,0,7,1,0,1,0,0,0,0,0,12.762837,50.502187
13,23,5,5,16,6,3,0,1,0,0,1,0,0,0,0,1,12.382429,51.314975
25,23,5,5,7,6,3,8,1,0,0,1,0,0,0,0,0,13.935671,51.203113
25,23,5,5,13,6,3,5,3,0,0,1,1,0,0,0,0,14.265615,51.430078
25,23,5,5,15,6,3,5,3,0,0,1,1,0,0,0,0,14.456188,51.259929
27,23,5,5,13,6,2,5,3,0,0,1,1,0,0,0,0,13.428691,51.402026
28,23,5,5,20,6,2,5,3,2,0,1,0,0,1,0,0,13.935317,50.971568
